CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE,YEARS_EMPLOYED
1,0,1,0,360000.0,0,4,1,1,1,0,0,0,16,2.0,0,41,7
0,0,1,0,112500.0,0,1,1,1,1,0,0,1,6,2.0,0,24,0
0,0,0,0,157500.0,0,1,2,5,1,0,0,0,17,1.0,0,43,1
1,0,1,0,382500.0,1,4,4,1,1,0,0,0,17,1.0,0,59,0
0,0,0,0,135000.0,4,4,0,1,1,1,1,0,10,2.0,0,26,4
1,1,0,0,225000.0,1,4,0,1,1,0,0,0,17,2.0,0,50,0
1,1,0,0,315000.0,4,1,1,1,1,1,1,0,10,2.0,0,43,10
0,0,0,0,180000.0,4,4,1,1,1,0,0,0,14,2.0,0,53,7
0,0,0,0,157500.0,4,4,1,1,1,0,1,0,14,2.0,0,35,8
0,1,0,0,144000.0,1,4,1,1,1,0,1,1,17,2.0,0,62,0
1,1,0,0,229500.0,4,2,1,0,1,0,0,0,8,2.0,0,50,3
0,0,0,0,270000.0,4,1,1,1,1,1,1,0,10,2.0,0,48,15
0,0,0,0,292500.0,2,4,1,1,1,1,1,0,0,2.0,0,57,23
0,0,0,0,270000.0,4,1,1,1,1,1,1,0,0,2.0,0,33,2
0,1,0,0,225000.0,4,4,1,1,1,1,0,0,10,2.0,0,40,2
1,1,0,0,157500.0,4,2,1,5,1,0,1,0,4,2.0,0,29,2
0,0,0,0,74250.0,4,1,2,2,1,0,1,0,3,1.0,0,52,14
0,0,0,0,135000.0,0,4,1,1,1,0,1,0,17,2.0,0,38,5
1,1,0,1,135000.0,4,4,1,1,1,1,0,0,4,3.0,0,27,2
0,0,0,0,144000.0,4,4,3,1,1,0,0,0,1,1.0,0,43,24
0,0,0,0,202500.0,2,1,1,5,1,0,1,0,3,2.0,0,39,3
0,0,0,0,40500.0,1,4,3,1,1,0,0,0,17,1.0,0,57,0
1,1,0,0,337500.0,2,1,1,5,1,1,1,0,10,2.0,0,28,4
1,0,0,0,180000.0,0,4,1,2,1,0,1,0,8,2.0,0,40,6
0,0,0,0,130500.0,4,4,0,1,1,0,1,0,1,2.0,0,41,13
0,0,0,0,144000.0,1,4,1,1,1,0,1,0,17,2.0,0,57,0
0,0,0,0,193500.0,4,4,3,2,1,0,1,0,8,1.0,0,44,5
0,0,0,0,112500.0,1,4,4,1,1,0,0,0,17,1.0,0,60,0
0,1,0,0,135000.0,1,4,1,1,1,0,1,1,17,2.0,0,55,0
1,1,0,0,267750.0,4,1,1,1,1,0,1,0,8,2.0,0,57,12
0,0,0,0,139500.0,4,1,2,1,1,0,0,0,10,1.0,0,44,19
1,0,0,0,67500.0,4,4,1,1,1,1,1,0,16,2.0,0,51,14
1,1,0,0,252000.0,4,4,1,1,1,0,0,0,6,2.0,0,29,6
1,0,0,0,180000.0,0,3,1,1,1,0,1,0,4,2.0,0,57,0
0,0,0,0,135000.0,0,4,1,1,1,1,1,0,8,2.0,0,53,14
0,1,0,0,900000.0,4,1,3,1,1,0,0,0,10,1.0,0,52,20
1,1,0,0,180000.0,0,1,0,1,1,1,0,0,4,2.0,0,40,1
1,1,0,0,115290.0,1,4,1,1,1,0,1,1,17,2.0,0,63,0
0,0,0,2,225000.0,4,1,1,1,1,1,0,1,3,4.0,0,30,4
1,1,0,1,135000.0,4,4,1,1,1,1,0,0,14,3.0,0,25,3
0,0,0,0,450000.0,2,1,1,1,1,0,1,0,10,2.0,0,40,15
1,0,0,0,279000.0,2,1,3,1,1,0,0,0,3,1.0,0,30,8
0,0,0,1,76500.0,4,1,0,1,1,1,0,0,0,3.0,0,34,1
1,0,0,0,202500.0,0,4,1,1,1,1,1,0,16,2.0,0,56,0
0,0,0,2,67500.0,0,1,1,1,1,0,1,0,3,4.0,0,28,1
1,0,0,0,234000.0,4,2,1,1,1,1,1,0,4,2.0,0,38,6
0,0,0,0,90000.0,4,4,3,1,1,1,1,0,3,1.0,0,52,1
0,0,0,0,81000.0,4,4,0,1,1,0,0,0,16,2.0,0,53,2
1,0,0,0,108000.0,4,4,3,0,1,1,0,0,2,1.0,0,22,3
1,0,0,0,99000.0,1,4,1,1,1,0,0,0,17,2.0,0,54,0
1,0,0,0,198000.0,4,4,3,5,1,1,0,0,8,1.0,0,23,3
1,1,0,0,360000.0,2,1,1,2,1,1,1,0,4,2.0,0,40,3
0,0,0,0,135000.0,1,4,1,1,1,0,1,0,17,2.0,0,54,0
0,0,0,0,76500.0,1,4,1,1,1,0,0,0,17,2.0,0,64,0
0,0,0,0,90000.0,2,4,1,1,1,0,1,0,17,2.0,0,25,4
0,1,0,0,270000.0,0,2,0,1,1,1,0,0,17,2.0,0,37,2
1,1,0,0,81000.0,4,4,1,5,1,1,0,0,4,2.0,0,39,9
0,0,0,0,202500.0,2,1,1,1,1,0,1,0,8,2.0,0,47,3
0,0,0,0,157500.0,4,4,1,1,1,1,1,0,17,2.0,0,53,27
0,0,0,0,180000.0,0,1,1,1,1,0,1,0,17,2.0,0,36,12
0,0,0,0,135000.0,4,4,1,2,1,0,0,0,2,2.0,0,33,2
0,0,0,2,135000.0,4,4,1,1,1,0,0,0,17,4.0,0,26,7
1,1,0,0,135000.0,0,4,1,1,1,1,1,0,8,2.0,0,44,17
1,1,0,0,270000.0,0,4,1,1,1,1,0,1,4,2.0,0,32,3
0,0,0,0,202500.0,4,1,1,1,1,0,1,0,3,2.0,0,44,13
0,0,0,0,157500.0,4,2,1,1,1,0,0,0,3,2.0,0,46,7
1,1,0,2,180000.0,4,2,1,1,1,1,0,0,8,4.0,0,34,5
1,1,0,1,112500.0,4,4,2,0,1,1,0,0,8,2.0,0,32,3
0,1,0,0,157500.0,0,4,1,1,1,0,1,0,17,2.0,0,37,2
1,1,0,0,216000.0,4,4,1,1,1,1,0,0,8,2.0,0,42,2
0,1,0,0,202500.0,0,4,1,1,1,1,1,0,14,2.0,0,42,4
0,0,0,0,198000.0,0,4,0,1,1,0,0,0,8,2.0,0,51,26
0,0,0,0,157500.0,1,4,4,1,1,0,1,0,17,1.0,0,55,0
1,1,0,0,180000.0,4,4,1,1,1,1,1,0,8,2.0,0,41,8
0,1,0,0,315000.0,4,4,1,1,1,0,0,0,0,2.0,0,46,2
0,0,0,0,112500.0,1,4,1,1,1,0,0,0,17,2.0,0,58,0
0,0,0,0,90000.0,4,4,2,1,1,0,0,0,14,1.0,0,32,1
0,0,0,0,45000.0,4,4,2,1,1,0,1,0,14,1.0,0,39,2
0,1,0,0,225000.0,4,4,1,1,1,0,1,0,17,2.0,0,23,5
0,0,0,0,112500.0,1,4,3,4,1,0,1,0,17,1.0,0,64,0
0,1,0,0,144000.0,4,4,1,1,1,1,1,0,3,2.0,0,47,2
0,1,0,0,315000.0,0,1,1,1,1,1,1,0,14,2.0,0,36,7
0,0,0,1,112500.0,4,4,1,1,1,1,0,0,14,3.0,0,35,10
0,0,0,2,144000.0,4,4,1,1,1,1,1,0,6,4.0,0,33,2
1,1,0,0,225000.0,1,4,1,1,1,0,0,0,17,2.0,0,47,0
1,1,0,0,135000.0,4,4,1,1,1,1,0,0,4,2.0,0,52,0
0,0,0,0,238500.0,4,4,1,1,1,1,0,0,8,2.0,0,52,9
0,0,0,0,238500.0,4,4,1,1,1,1,0,0,8,2.0,1,52,9
0,0,0,0,112500.0,4,4,1,1,1,0,1,0,8,2.0,0,27,5
1,1,0,1,144000.0,4,2,1,1,1,1,0,0,4,3.0,0,27,0
0,0,0,0,90000.0,1,4,1,1,1,0,1,0,17,2.0,0,58,0
1,0,0,0,202500.0,0,4,3,5,1,1,0,0,17,1.0,0,23,2
1,0,0,0,117000.0,4,4,3,1,1,1,0,0,9,1.0,0,40,10
0,0,0,0,135000.0,2,4,1,1,1,0,1,0,17,2.0,0,51,29
1,0,0,0,225000.0,4,1,3,1,1,1,0,0,17,1.0,0,27,4
0,0,0,0,126000.0,1,4,2,1,1,0,0,0,17,1.0,0,52,0
0,0,0,0,135000.0,0,4,0,1,1,1,0,0,3,2.0,0,43,1
0,0,0,0,90000.0,1,4,4,1,1,0,1,0,17,1.0,0,59,0
0,0,0,0,153000.0,1,4,2,1,1,0,1,0,17,1.0,0,63,0
1,1,0,0,1350000.0,0,1,1,2,1,0,1,1,10,2.0,0,35,4
0,0,0,0,139500.0,1,4,1,1,1,0,0,0,17,2.0,0,57,0
0,0,0,0,157500.0,4,1,1,1,1,0,0,0,10,2.0,0,31,0
0,1,0,0,135000.0,4,4,0,5,1,1,1,0,14,2.0,0,30,1
1,0,0,0,180000.0,4,4,3,1,1,1,1,0,17,1.0,0,25,4
0,0,0,0,225000.0,4,4,3,1,1,1,1,0,17,1.0,0,52,12
0,0,0,0,135000.0,4,1,1,1,1,0,1,0,14,2.0,0,27,6
1,1,0,0,292500.0,4,4,1,1,1,1,0,0,8,2.0,0,36,3
0,1,0,0,270000.0,0,1,1,1,1,1,1,0,10,2.0,0,52,20
0,1,0,0,99000.0,4,4,1,1,1,1,1,0,3,2.0,0,40,12
0,0,0,0,135000.0,4,4,1,1,1,1,1,0,14,2.0,0,33,6
0,1,0,0,315000.0,0,1,1,1,1,1,1,0,17,2.0,0,37,1
0,1,0,0,315000.0,0,1,1,1,1,1,1,0,17,2.0,1,37,1
1,1,0,0,270000.0,4,1,3,1,1,0,0,0,8,1.0,0,24,4
1,0,0,0,135000.0,4,4,2,1,1,0,0,0,8,1.0,0,38,8
1,1,0,2,445500.0,2,1,1,2,1,1,0,0,3,4.0,0,40,18
0,0,0,0,198000.0,1,4,4,1,1,0,1,0,17,1.0,0,60,0
0,1,0,0,382500.0,4,1,1,1,1,1,1,0,17,2.0,0,42,10
0,0,0,1,202500.0,4,4,1,1,1,1,1,0,14,3.0,0,32,8
0,1,0,0,99000.0,4,4,1,1,1,0,1,0,2,2.0,0,40,14
0,0,0,0,112500.0,4,4,1,1,1,1,0,0,14,2.0,0,43,1
1,1,0,0,166500.0,4,1,1,5,1,1,0,0,3,2.0,0,28,4
0,0,0,0,135000.0,2,4,0,1,1,0,0,0,11,2.0,0,35,15
1,1,0,0,202500.0,4,4,0,1,1,0,0,0,8,2.0,0,34,1
0,0,0,0,81000.0,0,4,2,1,1,0,0,0,14,1.0,0,49,4
1,1,0,0,180000.0,4,4,1,1,1,1,0,0,16,2.0,0,43,0
1,0,0,0,225000.0,0,1,0,1,1,0,1,0,10,2.0,0,33,1
0,0,0,0,99000.0,0,1,1,1,1,0,0,0,14,2.0,0,27,1
1,1,0,0,360000.0,0,4,2,5,1,1,1,0,4,1.0,0,28,1
1,1,0,0,225000.0,4,1,0,4,1,1,0,0,10,2.0,0,39,3
1,1,0,2,427500.0,0,1,1,1,1,1,0,0,10,4.0,0,41,17
0,0,1,2,157500.0,2,1,1,1,1,1,1,0,3,4.0,0,42,3
0,0,1,2,144000.0,4,4,1,2,1,1,0,0,8,4.0,0,26,5
0,0,1,0,157500.0,1,4,0,1,1,0,1,0,17,2.0,0,59,0
1,1,1,0,270000.0,4,4,3,1,1,0,0,1,10,1.0,0,36,3
0,1,0,1,157500.0,4,1,1,1,1,0,0,0,12,3.0,0,32,6
0,1,1,2,90000.0,2,1,1,1,1,0,0,0,3,4.0,0,30,1
1,1,0,0,202500.0,4,4,1,1,1,0,0,0,4,2.0,0,52,10
0,0,1,2,99000.0,0,1,1,1,1,0,1,0,0,4.0,0,34,1
1,1,1,0,360000.0,4,1,1,1,1,0,0,0,8,2.0,0,54,20
0,0,1,2,157500.0,4,4,1,1,1,0,0,0,14,4.0,0,29,6
0,0,1,2,157500.0,4,4,1,1,1,0,0,0,14,4.0,1,29,6
0,0,1,0,135000.0,4,2,3,1,1,1,0,1,17,1.0,0,23,4
0,1,0,2,99000.0,1,4,1,1,1,0,0,1,17,4.0,0,34,0
0,1,1,2,90000.0,2,4,1,1,1,0,0,0,2,4.0,0,34,12
1,0,1,0,90000.0,1,4,0,1,1,0,0,0,17,2.0,0,63,0
1,1,1,0,112500.0,4,4,1,1,1,0,0,0,17,2.0,0,44,21
0,1,1,1,135000.0,4,4,1,1,1,0,0,0,17,3.0,0,45,8
0,1,1,0,180000.0,2,4,1,1,1,0,0,0,11,2.0,0,56,10
1,1,1,0,495000.0,1,1,3,1,1,0,0,0,17,1.0,0,62,0
1,1,0,2,157500.0,4,4,1,3,1,0,0,1,4,4.0,0,40,6
0,0,1,0,135000.0,4,2,1,1,1,0,0,0,10,2.0,0,46,10
1,1,1,1,360000.0,0,4,1,1,1,0,0,0,10,3.0,0,38,1
0,1,0,1,157500.0,4,4,1,1,1,0,1,1,0,3.0,0,33,7
0,0,1,2,157500.0,2,4,1,1,1,0,0,0,3,4.0,0,33,5
1,1,1,0,157500.0,1,4,1,1,1,0,0,0,17,2.0,0,63,0
0,0,1,1,112500.0,2,2,0,1,1,0,1,0,15,3.0,0,29,9
0,1,1,1,112500.0,0,4,2,1,1,0,0,0,17,2.0,0,35,1
0,0,0,0,99000.0,0,1,3,5,1,0,0,1,17,1.0,0,29,6
0,0,1,0,135000.0,4,4,1,1,1,0,0,0,8,2.0,0,56,6
1,1,1,0,85500.0,1,4,1,1,1,0,1,0,17,2.0,0,60,0
0,0,1,0,292500.0,1,4,0,1,1,0,0,0,17,2.0,0,59,0
0,0,1,0,67500.0,4,4,1,1,1,1,0,0,3,2.0,0,59,23
0,0,1,0,90000.0,4,4,1,1,1,0,0,1,1,2.0,0,50,8
1,1,1,0,112500.0,4,4,3,1,1,0,1,1,8,1.0,0,46,6
0,0,1,0,112500.0,4,4,1,1,1,0,0,0,17,2.0,0,45,12
0,0,1,0,112500.0,4,4,1,1,1,0,0,0,17,2.0,1,45,12
0,0,1,0,360000.0,4,4,4,1,1,0,0,0,3,1.0,0,50,21
0,0,1,0,279000.0,2,1,3,1,1,0,0,1,10,1.0,0,30,1
0,0,1,0,157500.0,4,4,1,1,1,0,0,0,3,2.0,0,45,9
1,1,0,2,157500.0,4,4,1,2,1,0,0,0,1,4.0,0,34,3
1,0,1,0,135000.0,4,4,1,1,1,0,1,1,16,2.0,0,57,0
0,1,1,0,112500.0,4,2,3,5,1,0,0,1,14,1.0,0,22,2
0,0,0,0,225000.0,0,4,1,1,1,0,0,0,8,2.0,0,28,4
0,1,1,2,306000.0,2,1,1,1,1,0,0,0,3,4.0,0,37,10
0,0,1,0,166500.0,1,4,1,1,1,0,0,0,17,2.0,0,61,0
0,1,1,0,135000.0,1,4,1,1,1,0,0,0,17,2.0,0,60,0
0,1,1,0,202500.0,1,1,4,1,1,0,0,1,17,1.0,0,58,0
0,0,1,1,67500.0,2,4,1,2,1,1,1,0,3,3.0,0,42,5
1,0,1,0,180000.0,4,4,3,1,1,0,0,0,17,1.0,0,22,1
1,1,1,0,315000.0,4,4,1,1,1,0,0,0,10,2.0,0,38,2
0,1,1,1,202500.0,4,4,1,1,1,0,0,1,17,3.0,0,41,14
0,0,1,2,270000.0,4,4,1,1,1,1,1,1,10,4.0,0,35,5
1,1,1,0,112500.0,1,4,1,1,1,0,0,0,17,2.0,0,63,0
0,1,1,1,157500.0,4,4,1,1,1,0,0,0,10,3.0,0,34,15
1,1,1,0,202500.0,0,3,1,1,1,0,0,0,17,2.0,0,50,21
1,1,1,0,252000.0,4,4,1,1,1,0,1,1,16,2.0,0,60,4
0,0,1,0,135000.0,2,4,1,1,1,0,0,0,11,2.0,0,50,5
0,0,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,58,1
1,0,1,0,90000.0,4,4,1,1,1,0,0,1,8,2.0,0,24,2
1,1,1,2,225000.0,0,4,0,1,1,1,1,1,17,4.0,0,50,11
1,0,0,1,247500.0,4,4,3,1,1,0,1,0,8,2.0,0,46,18
0,0,1,0,76500.0,0,4,1,1,1,0,1,0,14,2.0,0,42,13
0,1,1,0,126000.0,1,4,1,1,1,0,0,0,17,2.0,0,63,0
1,0,1,0,360000.0,4,4,1,1,1,0,0,0,4,2.0,0,49,3
0,0,1,0,135000.0,1,1,3,1,1,0,1,0,17,1.0,0,63,0
1,1,1,0,135000.0,4,3,1,5,1,0,0,1,8,2.0,0,27,5
0,0,1,0,135000.0,0,1,1,1,1,0,0,1,3,2.0,0,37,10
1,1,1,0,202500.0,0,1,1,1,1,1,0,0,17,2.0,0,51,2
0,1,1,1,90000.0,2,4,1,1,1,0,0,0,11,3.0,0,48,22
1,1,1,0,315000.0,0,2,1,1,1,0,0,0,15,2.0,0,59,5
1,1,1,0,225000.0,4,4,1,1,1,0,0,0,4,2.0,0,45,11
1,1,1,0,225000.0,4,4,1,1,1,0,0,0,8,2.0,0,55,2
0,1,1,0,247500.0,2,4,1,1,1,0,0,0,10,2.0,0,54,22
0,1,1,1,67500.0,4,4,0,1,1,1,0,0,2,3.0,0,40,9
1,0,1,1,562500.0,4,2,1,1,1,1,1,0,17,3.0,0,37,15
0,0,1,0,126000.0,1,4,1,1,1,0,0,1,17,2.0,0,55,0
0,0,1,0,99000.0,4,4,3,1,1,1,0,0,14,1.0,0,27,3
0,0,1,0,135000.0,0,4,1,1,1,0,0,0,14,2.0,0,40,5
0,0,1,0,189000.0,0,4,1,1,1,1,1,0,17,2.0,0,55,17
0,0,1,0,157500.0,1,4,1,1,1,0,0,0,17,2.0,0,64,0
0,1,1,1,112500.0,0,4,1,1,1,0,0,0,3,3.0,0,41,5
1,0,0,0,135000.0,0,1,1,1,1,0,0,1,2,2.0,0,26,0
0,0,0,0,216000.0,1,4,1,1,1,0,0,0,17,2.0,0,62,0
0,0,1,0,328500.0,0,4,1,1,1,0,0,1,10,2.0,0,54,5
0,0,0,0,126000.0,4,4,3,5,1,0,0,0,14,1.0,0,22,2
1,1,0,1,180000.0,2,2,1,5,1,0,0,0,4,3.0,0,29,3
0,0,1,0,310500.0,2,1,3,1,1,0,0,1,0,1.0,0,36,3
0,0,1,0,126000.0,0,4,1,1,1,1,1,0,8,2.0,0,39,20
0,0,1,2,67500.0,4,4,2,1,1,1,0,0,17,3.0,0,40,20
1,1,0,0,90000.0,0,4,3,1,1,1,1,0,4,1.0,0,33,5
0,1,1,1,157500.0,4,1,2,1,1,0,0,1,11,2.0,0,26,5
0,1,1,0,270000.0,1,4,1,1,1,0,0,0,17,2.0,0,65,0
0,1,1,0,540000.0,0,1,1,1,1,0,0,1,10,2.0,0,37,6
0,1,1,1,225000.0,4,1,1,1,1,1,1,0,6,3.0,0,38,4
0,0,1,0,202500.0,1,4,1,1,1,0,0,0,17,2.0,0,59,0
1,1,0,1,270000.0,4,4,2,1,1,0,0,0,4,2.0,0,36,8
0,0,1,0,67500.0,4,4,1,1,1,0,0,1,11,2.0,0,42,0
0,1,0,1,180000.0,4,4,1,1,1,0,0,0,14,3.0,0,30,0
0,0,1,0,90000.0,1,4,1,1,1,0,0,0,17,2.0,0,58,0
0,0,1,0,202500.0,1,4,1,1,1,0,0,0,17,2.0,0,62,0
0,1,1,0,157500.0,4,4,1,1,1,1,0,0,3,2.0,0,36,15
0,0,1,0,171000.0,3,1,1,1,1,0,0,1,3,2.0,0,51,10
0,1,1,1,157500.0,4,4,1,1,1,0,1,0,14,3.0,0,34,1
1,1,1,0,675000.0,2,1,1,1,1,0,0,0,6,2.0,0,32,6
1,1,1,0,135000.0,0,1,0,1,1,0,0,0,17,2.0,0,35,0
1,1,1,2,315000.0,4,1,1,1,1,1,1,0,17,4.0,0,37,0
1,1,1,0,112500.0,1,4,1,1,1,0,0,0,17,2.0,0,54,0
0,1,0,2,270000.0,2,1,1,1,1,0,0,0,15,4.0,0,37,12
1,1,1,1,202500.0,4,4,1,1,1,1,0,0,17,3.0,0,27,0
0,0,0,1,90000.0,4,4,2,4,1,0,0,1,14,2.0,0,38,0
0,1,1,0,135000.0,4,4,3,1,1,0,0,0,14,1.0,0,47,6
0,1,1,1,157500.0,0,4,1,1,1,0,0,0,8,3.0,0,37,11
1,1,1,0,112500.0,4,4,1,1,1,0,0,1,14,2.0,0,27,4
1,1,1,1,450000.0,4,1,1,3,1,0,0,0,10,3.0,0,50,7
0,0,1,0,76500.0,1,4,0,1,1,0,0,0,17,2.0,0,55,0
1,1,1,0,90000.0,4,4,1,1,1,0,0,0,16,2.0,0,58,3
0,1,0,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,1,38,8
0,1,0,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,38,8
0,1,1,0,315000.0,0,4,2,1,1,0,1,1,8,1.0,0,49,8
1,1,1,0,135000.0,0,4,1,1,1,0,1,0,6,2.0,0,43,7
0,1,1,0,121500.0,4,1,1,1,1,0,0,1,14,2.0,0,27,4
1,1,1,1,247500.0,4,4,1,1,1,0,0,1,4,3.0,0,31,4
0,0,0,1,72000.0,0,1,1,1,1,0,0,1,0,3.0,0,38,5
1,1,0,0,135000.0,4,4,1,1,1,0,0,0,4,2.0,0,56,1
1,1,1,1,180000.0,4,4,1,1,1,0,0,0,10,3.0,0,46,9
0,0,1,0,112500.0,1,4,1,1,1,0,0,0,17,2.0,0,62,0
0,0,1,1,247500.0,0,2,1,1,1,0,0,0,0,3.0,0,29,2
0,0,1,2,90000.0,4,1,1,1,1,0,0,0,4,4.0,0,32,12
0,0,1,0,65250.0,1,4,4,1,1,0,1,0,17,1.0,0,54,0
0,0,1,0,184500.0,4,4,1,1,1,0,0,0,1,2.0,0,50,3
0,0,1,0,90000.0,4,4,0,1,1,0,0,0,1,2.0,0,58,3
0,0,1,0,103500.0,1,2,1,1,1,0,1,0,17,2.0,0,60,0
0,0,1,0,180000.0,4,4,3,1,1,0,0,0,17,1.0,0,53,5
0,1,1,0,180000.0,4,4,0,1,1,0,0,0,14,2.0,0,34,1
0,0,0,0,180000.0,1,4,1,2,1,0,1,0,17,2.0,0,52,0
1,0,1,0,157500.0,1,4,1,1,1,0,0,0,17,2.0,0,52,0
0,1,1,2,67500.0,4,1,1,1,1,0,0,0,17,4.0,0,32,4
1,0,0,1,112500.0,4,4,1,1,1,1,1,0,8,3.0,0,24,1
1,1,0,0,180000.0,4,1,3,1,1,0,0,0,8,1.0,0,30,2
1,1,1,2,270000.0,4,4,1,1,1,0,0,0,8,4.0,0,36,11
1,1,1,0,180000.0,4,4,1,1,1,0,0,0,14,2.0,0,47,8
0,0,1,1,157500.0,4,4,0,1,1,0,0,0,17,3.0,0,42,23
0,0,1,2,225000.0,4,4,0,1,1,0,0,0,14,4.0,0,35,1
1,1,1,0,189000.0,4,4,1,1,1,0,0,1,16,2.0,0,57,2
1,1,1,0,292500.0,4,1,1,1,1,0,0,0,10,2.0,0,28,6
1,1,1,0,99000.0,4,4,3,1,1,1,1,1,8,1.0,0,56,0
1,0,0,0,202500.0,0,2,0,5,1,0,0,0,17,2.0,0,33,1
